numero_de_cliente,Predicted
507653834,1
1469402972,1
1122340744,1
1199345235,1
999158844,1
957781338,1
971108609,1
1350587874,1
1016783779,1
841876239,1
1346661987,1
447990093,1
1303652009,1
960841355,1
469357652,1
1038027871,1
1456839179,1
1222748992,1
1327182802,1
1332194712,1
614615235,1
719952686,1
725911849,1
597573786,1
1125770942,1
1493825886,1
516013833,1
1333333623,1
690072207,1
1246638651,1
560499776,1
302346506,1
1187443177,1
990758222,1
825039709,1
703610974,1
356662435,1
1459306077,1
519562169,1
1237423372,1
1231971341,1
776562687,1
1229634178,1
1250287995,1
1137753589,1
589454522,1
1064098715,1
779846086,1
495599069,1
747296112,1
268237057,1
308198538,1
687052369,1
990418460,1
663202523,1
876172743,1
1318294749,1
348375152,1
878976935,1
999655908,1
994305474,1
1355386837,1
614269197,1
1127528923,1
853893960,1
1023893441,1
1083297421,1
679020843,1
1125932548,1
1253149728,1
338529923,1
935575407,1
875839830,1
460817670,1
355859871,1
1095364151,1
332754467,1
891071377,1
1451756090,1
355560433,1
1224188569,1
491664360,1
800143506,1
1213881716,1
843005073,1
285480881,1
484136978,1
644104534,1
1005037853,1
779012668,1
658350101,1
1200808878,1
1332649487,1
1342775050,1
859443856,1
1235133605,1
812017494,1
700219427,1
999567231,1
302148947,1
659587021,1
1345754265,1
273950532,1
1224705112,1
666848221,1
260491765,1
660543608,1
586766069,1
1437893889,1
451705509,1
710633266,1
665600437,1
1335080511,1
306285953,1
1051386142,1
698971498,1
457966219,1
759217496,1
267431649,1
1062670658,1
1292054930,1
342896067,1
1179492522,1
1095641786,1
1306459122,1
1156415991,1
865364445,1
731049200,1
964454380,1
275046043,1
506852585,1
278188904,1
1077360503,1
300687927,1
809215633,1
1052769493,1
655175591,1
1082561441,1
1330071299,1
355984653,1
1207471134,1
889464941,1
266616403,1
1582619617,1
636964898,1
496272333,1
1339359438,1
831739592,1
352906984,1
576328088,1
930975240,1
1352229749,1
678606692,1
1070087118,1
891444836,1
889762116,1
571851534,1
549628251,1
882749448,1
1089552153,1
1058531312,1
334353609,1
788587051,1
750344678,1
283272360,1
800100116,1
516347472,1
490961054,1
603245758,1
894719337,1
579557952,1
528100768,1
943855260,1
631590322,1
1052835642,1
672560961,1
916274165,1
275039040,1
1367858820,1
1150135367,1
1451148752,1
803210014,1
1454897491,1
875428889,1
348640601,1
466558635,1
563871562,1
681912551,1
1133114549,1
1450028732,1
901895430,1
466571180,1
1013858314,1
786731708,1
1024504493,1
810702981,1
990090867,1
354916631,1
853474633,1
1316327536,1
1063259250,1
1437792745,1
596868651,1
1071358676,1
1066780610,1
452666178,1
1091838419,1
1079982304,1
928847010,1
1213251185,1
592537298,1
1080592989,1
348536681,1
315523188,1
1438598657,1
706779360,1
940568650,1
1028130789,1
745487516,1
618438654,1
1332032090,1
829720978,1
566624781,1
655087128,1
304396409,1
1354981362,1
839304251,1
729212089,1
582110692,1
1452408859,1
1438275223,1
472586423,1
1317206087,1
727109026,1
887345969,1
1069970943,1
861519361,1
491982688,1
459485147,1
625716189,1
954626581,1
1101639890,1
1328479518,1
880534361,1
891291104,1
263130415,1
1234207214,1
1210803458,1
648134922,1
1199448353,1
597674785,1
1499666757,1
850217049,1
1253836118,1
1093623821,1
1013406306,1
1091039065,1
260754302,1
998565144,1
650904759,1
1326891384,1
321500216,1
703907858,1
465337547,1
771920658,1
981341952,1
1227062693,1
1451443954,1
441213780,1
1232934640,1
1081034126,1
1054242256,1
1198753500,1
1236726991,1
805005484,1
479408826,1
899339334,1
358548333,1
1168793901,1
596633902,1
1469185944,1
717275462,1
324400668,1
1000685202,1
1385749802,1
621518363,1
452229345,1
1453896933,1
433792793,1
258392485,1
923224919,1
1009893922,1
473756828,1
585683751,1
875809052,1
321438661,1
483537514,1
585653563,1
1236829015,1
264730505,1
1063846237,1
1353564680,1
633697399,1
562206049,1
1113364228,1
1453079569,1
462250979,1
889236316,1
345650089,1
844755547,1
976745944,1
728243111,1
504139187,1
998643975,1
349336325,1
513476046,1
1306743392,1
840658576,1
731338278,1
885898006,1
594839824,1
620383766,1
1208463673,1
1227525709,1
1462884465,1
632363783,1
1205639865,1
1001930722,1
776771842,1
1141265102,1
279850258,1
894415665,1
1453775293,1
749788536,1
969189970,1
934123798,1
449351352,1
1143336082,1
294967894,1
1243960120,1
1191090472,1
1136719846,1
1453901160,1
437038490,1
951573711,1
913709691,1
453619699,1
1319687802,1
1358707274,1
355522005,1
1453082046,1
892732799,1
604732670,1
662212836,1
1189593431,1
1115994415,1
1033606082,1
970712613,1
789716977,1
1000575449,1
945318176,1
1527223130,1
585608636,1
318751233,1
597221838,1
1206943942,1
518362738,1
1487547738,1
973186813,1
473769954,1
1027649404,1
612018883,1
1107139752,1
786557412,1
640632253,1
1190161896,1
463192323,1
346202943,1
1312135107,1
495134960,1
749433454,1
1006445423,1
620508762,1
1049967128,1
1046877862,1
940898283,1
577144939,1
884559505,1
441307350,1
969546590,1
645208867,1
660477459,1
1012530086,1
1221933738,1
1198147119,1
806971228,1
499946835,1
934477855,1
1108679979,1
585565246,1
1455440652,1
1382389468,1
800761638,1
266627633,1
1442184995,1
744377931,1
1122619694,1
734201685,1
1066820644,1
1010076535,1
1439189948,1
330532010,1
796692821,1
1179415067,1
1167667612,1
633999322,1
1460709634,1
1090997571,1
752506161,1
863078691,1
992973600,1
1024450309,1
1241939380,1
1435176922,1
315375723,1
598574267,1
1332462945,1
1218309116,1
571950424,1
330572411,1
698897117,1
1048616732,1
1059284576,1
634031260,1
1158788236,1
322047024,1
253649892,1
1332016557,1
1384446374,1
985241289,1
679375635,1
892732440,1
997186669,1
1277247816,1
676187769,1
696318775,1
1198655344,1
647661402,1
715744510,1
